1. OPCODE: UG_CHAR_MOVE, LENGTH: 22, sha1: 0f88a5397e2276487f827787de66106fa85177a6
2. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 8497f91edea54fb7d38516fb1e51dc144b02aa63
3. OPCODE: UG_CHAR_CHANGE_HEADING, LENGTH: 8, sha1: fecb60517acf9de66e2085d7e077d1578a86247d
4. OPCODE: UG_CHAR_CHANGE_HEADING, LENGTH: 8, sha1: f7ef21b0609a119955c75a8d69c90aad549b82c2
5. OPCODE: GU_WORLD_FREE_PVP_ZONE_ENTERED_NFY, LENGTH: 6, sha1: 378d6bce533941c8550bec9ef942d36099209639
6. OPCODE: UG_CHAR_MOVE, LENGTH: 22, sha1: 2dae24e83958a6f9ab2f8882c2bc5442ea42c9ea
7. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 683417be3794458867bd65d56651405585bd2059
8. OPCODE: UG_CHAR_AIR_MOVE_SYNC, LENGTH: 21, sha1: f52828df73ebb6a5b280401f83769a6f93631450
9. OPCODE: UG_CHAR_MOVE, LENGTH: 22, sha1: 357e6b3e2f3f588038ae320797ac3ad8d9cada28
10. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: d0272a9e4fcb32ea4f0859af8c832d0421e54dc8
11. OPCODE: UG_PERFORMANCE_DATA_NFY, LENGTH: 30, sha1: a86ecc556a96775150416dc3ad4f2cc26411de2d
12. OPCODE: UG_CHAR_MOVE, LENGTH: 22, sha1: 7d2c5853f5c794a241fb83a1e47ce1990d1d0737
13. OPCODE: UG_CHAR_MOVE, LENGTH: 22, sha1: 274232372bd5ed193e4ac71a8e39feefb5a8493e
14. OPCODE: UG_CHAR_CHANGE_HEADING, LENGTH: 8, sha1: 06f07b12811464ca6e07fef396101599d79efe96
15. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 74b5a88743e1c3c43d0b30a5b1294b4521c1537d
16. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: e4613083622f57305d957a9b965eeef3092dc222
17. OPCODE: UG_CHAR_CHANGE_HEADING, LENGTH: 8, sha1: e1a58f67abdf5f8aa60bc2d5258b62326bfb3c96
18. OPCODE: GU_WORLD_FREE_PVP_ZONE_LEFT_NFY, LENGTH: 6, sha1: 3835c2fa854a66440066b4b787f1a3e69b749fe5
19. OPCODE: UG_CHAR_MOVE, LENGTH: 22, sha1: 383b2e1a373fd8229790dc2796d4358fc9e2c2dd
20. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 4bdd56ab13e8cd6e6f05d303244d5baaf39a6d9d
21. OPCODE: UG_CHAR_AIR_MOVE_SYNC, LENGTH: 21, sha1: 690f5ae611ff9b16ab568e8e5ff4c3c743297803
22. OPCODE: UG_CHAR_CHANGE_HEADING, LENGTH: 8, sha1: d289f0f899b37dd0c040b15e88a77030865f454c
