1. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: e931e2178b518b675d8da2bd5fd63826c9dbf5bc
2. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 568f31bb9fe49d91ed3f0659dbb8e3b95c34da19
3. OPCODE: UG_CHAR_TARGET_SELECT, LENGTH: 7, sha1: 0cc2d58ce90f40a5c40c284127d159441bdbcddd
4. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 52499e925e7b604022eed1857dc862a31a532cfd
5. OPCODE: GU_CHAR_TARGET_CHANGED, LENGTH: 10, sha1: 4cc85a068b699cccec9bbf1bcc4ba5d77b3f7565
6. OPCODE: UG_CHAR_TARGET_SELECT, LENGTH: 7, sha1: 0cc2d58ce90f40a5c40c284127d159441bdbcddd
7. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 5f5f480eb426ed232352a25003d72ba02c2e07e4
8. OPCODE: UG_CHAR_MOVE, LENGTH: 22, sha1: 6ae9d9779a11c32ae2aa8d8886bd5e52ac08c35a
9. OPCODE: UG_CHAR_AIR_MOVE_SYNC, LENGTH: 21, sha1: 9b4f302b8cf9ddf977a2b33e392dab771616a092
10. OPCODE: UG_CHAR_ATTACK_END, LENGTH: 4, sha1: 7ded6752729f0d97261e8827dc051f35fb75a887
11. OPCODE: UG_CHAR_TOGG_FIGHTING, LENGTH: 4, sha1: 6e356f1e34b275f90220d9816e3909aa96179be8
12. OPCODE: UG_CHAR_ATTACK_BEGIN, LENGTH: 4, sha1: 5ff4106150453327070da1fbdb11b8464b599108
13. OPCODE: GU_CHAR_FIGHTMODE, LENGTH: 7, sha1: b010ee8f099cc16e8187c4945c103f20fd9bc690
14. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 45f8d2ce6ae8fbb8853ec3327628e93b42cfbb9c
15. OPCODE: GU_CHAR_IS_BATTLECOMBATING, LENGTH: 6, sha1: d699c5a3181a01c042393e9bd70e316070a7bc6a
16. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: 4726ce9f6c67b15db7855675f015fdc1c791b79e
17. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 39183eca26344c63a862f4c6ac90683659534bb4
18. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: baceeb4aaba4df5584854f9bbf206bd396f45567
19. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 07d16585d1833229b557798aed08a9841a79720c
20. OPCODE: GU_CHAR_TARGET_CHANGED, LENGTH: 10, sha1: f93db8c9437dc6c137bf4674ebe9421106c9ffd8
21. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: d035eefb769a4a28b7f85761ae7e4c18fddf5ca4
22. OPCODE: GU_CHAR_FIGHTMODE, LENGTH: 7, sha1: 7de23aa6e5b309620d23284aced4d90a8405bc4f
23. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 5ba2ef7c9ac9d6531742bf4d1c63590b81147768
24. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: d92810da4b072bb10f1270c680a60fd508f3a0bc
25. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: c64cafe782d88a8a08dfef2e006e0e26fb3e04f0
26. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: d6f442344d13a02deefd828b2c765f7683b0e3ce
27. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: bd07173d09be396e4cfee53412c14e51808ff8da
28. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 25d4e55f88c65389081d4a815163502170f7b3df
29. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 822d01c9445b45748e5d83754a0f0cd486f58665
30. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: fc16483aa5115a331c2a38e5e1d31861363885ad
31. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: ba5bb4a867356a5971c42c40deacc580196f0921
32. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: 93c3e49ce77d892097c4a10f8dffb2ef449a5722
33. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: f35a0934191b2dbb04f160f38c693161fe775ea4
34. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: e97ba201ec4424225d78e8aa72e55b0b40112916
35. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: ca5f51caa2adbb55881725aa07e6b7a4d5ba6b65
36. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 3cd30b2dcaf3c16fdd3baaea415b130b14be6fe1
37. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: eaa6098661856bc7c790b874aac2f922970cf8d9
