1. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 7a99e1f5ca676c7293866e13a430d34b3b2e68c0
2. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 691066f592919b94185ca3f1762365b9395887a6
3. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 1a38877aa998f8bbfd186b6173a4b13525a96119
4. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 6382acf297a575c532891244809ac92e4fbbdac1
5. OPCODE: GU_SCOUTER_ACTIVATION_RES, LENGTH: 20, sha1: 0c6416e265772f95903c9c10ee7cca45ed8e3a24
6. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 5cde1e4337684e2a76931dd5da01a2ce5b53abb9
7. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 434f666f6577f0f83c73cea8939a39996f28080f
8. OPCODE: GU_TS_CONFIRM_STEP_RES, LENGTH: 13, sha1: b207674b0af4fe1717c2db0050d84962eee2e899
9. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 8aff4f6518550583a068f86e1d43efc78628ed56
10. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: d45e0ce019a54e5b3ba57e45b538219e6bd3c82a
11. OPCODE: GU_TS_CONFIRM_STEP_RES, LENGTH: 13, sha1: 7a2790d51a87c7b070dcde1e3e029413532cded4
12. OPCODE: GU_TS_CONFIRM_STEP_RES, LENGTH: 13, sha1: ac411ed41912da8b355080d7eb7ef91814f8cf40
13. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 64f0ea14ad87afbab774abc9f6d5c45a65b390a9
14. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 8f453bed8a39a32a3c4f07ddde4da0a7624fd821
15. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: ab239c5b6b187b2684288b9a81cb546184684aa7
16. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: dad37d3caefd4207495f6cc9b9c633c69120a451
17. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 18d047270116b002142dde7201d9b935ea335110
18. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 39474cc01b8df7207b6b1cdc003737970af15eb8
19. OPCODE: GU_SCOUTER_ACTIVATION_RES, LENGTH: 20, sha1: 0c6416e265772f95903c9c10ee7cca45ed8e3a24
20. OPCODE: GU_TS_CONFIRM_STEP_RES, LENGTH: 13, sha1: b8c802a178ed331e425e16548f2068eac37aca4d
21. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 646d9da9a837185ba270fc640d2c75eb45ed1e8c
22. OPCODE: GU_TS_PC_DIALOG_NFY, LENGTH: 6, sha1: 150e010752940582700628c4a355a30681ae2070
23. OPCODE: GU_TS_CONFIRM_STEP_RES, LENGTH: 13, sha1: 4c7d013910a918e67591121e4024e568049e032d
24. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 41ca2894931f971223daa82d9e5a1d10e011ca85
25. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 4572cd00ab97e3575643e577d8480185c7efc7e5
26. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 7e68907f92c6cee016ad44aa816c19c187eb5862
27. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: f0c5de60982813dac75a1e485eab71eda77ea76e
28. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: fc47b635bedcb8f3b457ae431a0220ec99bec257
29. OPCODE: GU_UPDATE_CHAR_ZENNY, LENGTH: 12, sha1: 54823b4c210b9cafa6449dfcf8c6652fa8e30faa
30. OPCODE: GU_UPDATE_CHAR_EXP, LENGTH: 22, sha1: 722bc8f452213e004d7f1cf63bfd8c9d9bf54d81
31. OPCODE: GU_TS_CONFIRM_STEP_RES, LENGTH: 13, sha1: f2fdde639700a245aafa23ce6b4e42e10bc63dcc
32. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: 9001c8bf7385c5b667764f73fc78fb5f3c9de9ce
33. OPCODE: GU_TS_CONFIRM_STEP_RES, LENGTH: 13, sha1: 4e551784873fc2e2de5018f4d6527bd65298685e
34. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 8a4ba708d36a8915177199cd1ba167e019965b7e
35. OPCODE: GU_TS_CONFIRM_STEP_RES, LENGTH: 13, sha1: aeeec22543300ad1f7509019f303090cab3cb095
36. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: d89d3cff8cea61c8040bbad0754a6ae518798a03
37. OPCODE: GU_TS_CONFIRM_STEP_RES, LENGTH: 13, sha1: 044275b7cc70037c670ec652c56de71121728fc3
38. OPCODE: GU_QUEST_SVREVT_START_NFY, LENGTH: 6, sha1: 34f67e998cddb49e4222486b93df8ab9243f2710
39. OPCODE: GU_TS_CONFIRM_STEP_RES, LENGTH: 13, sha1: 5a0c43da4485e353060d1e39b8f4c5e9727832bf
40. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 4cd38f7165e9023ccd261abc044ff7284ae04005
41. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 08bd396eb2a9ef7857681e916ebe7310f8f387e1
42. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 6b14547bfcf7ea745f48dd22177ba69251a88ab7
43. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 496678b27b70656366fa3828b500d549356b9a4b
44. OPCODE: GU_SERVER_CHANNEL_INFO_REFRESHED_NFY, LENGTH: 121, sha1: 046b14f2d3517e54f6a80b3e31c4a8303e3319c8
45. OPCODE: GU_SERVER_CHANNEL_INFO_REFRESHED_NFY, LENGTH: 121, sha1: 2f793974898d9f8f550cbe060b4a959822f500d7
46. OPCODE: GU_SERVER_CHANNEL_INFO_REFRESHED_NFY, LENGTH: 121, sha1: c634616871e9266746414459881b60d7e58849fd
47. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 1fbbcf3f2e1a91c3ba49d48d9f96b924ff7fc1f7
48. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 409892122148d4cbe47bb5101be671e7982e63c4
49. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 3427e802568314bbaa1b85e1c10f9ede7edfc93a
50. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 85f808d1e64e526af67cd5ba2b734add1692677b
51. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: a00ac9b4a2ba735481a301586585b3dfa9f572eb
52. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 44f794d9fe5c0bef6f15a3ea6c364a476449c901
53. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 224a7349c72b46ada53a86282c4e8cc5df44f466
54. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: a145ad70c12623672682b1cb66d8dbe25d0b60b9
55. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 42cba8268bbf0705c713d79bd786b9915d04f130
56. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 153a062f5020cdf5c5fca1605c1b2fc2f38ab6cf
57. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 14d35f6a2097aa290e63cf951d5069b029839aa9
58. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: b86fb5e3bdf34ecb44e504235697a71a4a2c4b73
59. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: f8a73418b5d981534bc7eea0a5f88d311365b22e
60. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 6996d015d664c8e7b4836614c31c477aeeca6648
61. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 0d71021538e639d2907867fa5e78a2610d99b18f
62. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 2ad0551453a8ab3d1f711ded9b22e48db6ef6930
63. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: d5e31142d76c241c4cae5a80c36a55397d355588
64. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: dd3aef4ce74e69671677f581dfee6501e4f9cd17
65. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: e8b422ca19713397f2d662049d2b5bf24c726e73
66. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: 97238e7d33bcf38a29f55c1f545c17501fb8395f
67. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: b8300c9bdc4beeb83916dfb9906167444a93c6a8
68. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: c7edd8a65358cc4be3cd4c1e2fcad81babd4bb43
69. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: 25d585174c3d28aceb6fcc67999cf34ff7942dff
70. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: 9b639041d281e77f10933ef1b1659326b0d2dc3c
71. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: 31590b7701d45132b096cbfd2426ad01c383403a
72. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: f1b6c35c36e0d3949597e7e86b8eb642cddc6f00
73. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 2ed4e1c0c6794476f2f44cfea4609e688ab92f8a
74. OPCODE: GU_CHAR_TARGET_CHANGED, LENGTH: 10, sha1: 70625260c0f56173970845f4ed7d320a10840282
75. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 5b3822ef8c7f39dc0c931ca67bf2df19f17e7c70
76. OPCODE: GU_CHAR_FIGHTMODE, LENGTH: 7, sha1: b010ee8f099cc16e8187c4945c103f20fd9bc690
77. OPCODE: GU_CHAR_IS_BATTLECOMBATING, LENGTH: 6, sha1: d699c5a3181a01c042393e9bd70e316070a7bc6a
78. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: ea595821f808360dd637921ea685e7a5cdc89337
79. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 30d66f3855088017fa24fceb6297ddd0ef72f6ea
80. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 653666435aa6eb3efe7e30b0297ac1e56b8b8d02
81. OPCODE: GU_CHAR_TARGET_CHANGED, LENGTH: 10, sha1: 62e737fe05d4d2a23ebaad886f43617c00db62c6
82. OPCODE: GU_CHAR_FIGHTMODE, LENGTH: 7, sha1: 7e1371b95f50d9ccde75da4212233f003dadac00
83. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: aaa55914273de4b43b0a61d334db7359999fdf26
84. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 48a9938933b34129ec7fd1c322e76e4837809733
85. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 60162abe2daee6cca9bc41e47e415492c4452de1
86. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 68829eb8735470d0df45489f2ad250c133fa2828
87. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 5179597d80d2e76b3dd077a718b6ebeaebdc947c
88. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: 42098d4eacc2f7d3e71da3d8b08e53138057b433
89. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: e87ac25b61dee13bd3d4caa639db8529c3e61780
90. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: 7ec8882928d21517e4ed976b240c911d0ec6e5f4
91. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 70f56f3996d47df9dcb0be6619a32df371e3e1cb
92. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: d5489a184da090fb086cc3aae2ecf8576916a638
93. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 27e857bb4ce87017ae53616430f86881af496ab5
94. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 5bb64f1d2338d65cd2a1d4b01dc2de9700503f1d
95. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: da9f1a9e88eb6b360c63c96a3b959383e7352ab1
96. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: b9ba2a543805a9564d3b59bc4c44574308765d3c
97. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: f25f1ee8b585f0b4d2fa5afc6dd0b5cc057128f3
98. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: a1a6ac69b8d752d1964e543715d3800d98dc8da4
99. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 5141441aa296f5b28aa5d0424672b76c6c845559
100. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: de46b40c290ade3b6920d6a13fac991786004048
101. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: d9266b469c6d8f4b0c764abb1244560316086464
102. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 4027f56522f908cd0d43bbbf5ecb7cfeb2d3569d
103. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: 168461b5fe247bd1005bb977437b458a83100eca
104. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 6b24362a2a97fd40d989106282a7bad5693ddca3
105. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: f32857a79e7fd88dc8528b91745464a376720c6f
106. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: db520833513ea226068a5d6ec9ce31c7b5f74e1e
107. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: e8b422ca19713397f2d662049d2b5bf24c726e73
108. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 4cde4296a5142f30d9ca20084b8d0cbe9f809c2e
109. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 0468fcbe471eb5e6e8cbb8e9c2007efe96843570
110. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: c78a9da011c9b9671c4356471f39e99760425da4
111. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 2c3cb8c294630cdd6a60bf8cb52e5fa2c0e874fe
112. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 96c21d06808c5f3baa83eb4ba460c3cba35c7cc0
113. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: 136c1dfee57898e354aec8a03e3cca542c2a46f3
114. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 905b8408ca0acee9f556aff05af543204b8a6943
115. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 089bc78f1dd875d2e574235926c496858f18a7fc
116. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: 485c9c5126ff8dae6b02ca9a6a2c5bff06277cb5
117. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 742762dd26359fd35d17c4c8754c924dee824226
118. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 0fcf63d2061030b256adf3861cb91ca700e84c19
119. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: 3293f8cf6ff5b48707dde527352d8d6ae7bf194a
120. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 1888a3c52b52f8c820f4e6e4845c07fc1f617ee8
121. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 917fc9faae1cfeecbcc1a5f03337ef24e411b7d3
122. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: 164381f43582665f540126fd2a4d4d1d86b2feaa
123. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: d2c0fbc91954f3348e9f94f7735f46698afae4c5
124. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: b8238931873aa84c35445dca6dfd5bca29d072f5
125. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: 6f324412800125e383f52bc676994d2d7e65bc60
126. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 00f5c733a8b0b7fa472b82e993752dadb733fcbb
127. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: dc8c02d17c347178f03d7faa75db930413e96387
128. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: aed925b58f647c1b4b36bd54ded10fbb9f3c6b3a
129. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 9a436c73d11c3ca3a6a79b0a674ea72abebe858d
130. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: fdec493d5f94704c751b70384c0515c35088d73c
131. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: a241a0c66e154584d39b98822446ecb7cb68de8a
132. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: 743352bba2692f1cf921623326dd7bbee625e106
133. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 0bbc7f901072e77f5dff380547f0223ea481e452
134. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 9ee65460072579cb2ac51e01d6b1c984b23d5708
135. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: 9102ff997e056b09368202088ff763b75815c6d5
136. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 3f48a234ac557a232abbdb24dc5568eefc003fe1
137. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 0e64bbb964066bc283306799c69606c652220d7f
138. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: 6292a70506ef37fe794b4f281cfc957759d5b7f7
139. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 8d70944eac93701744b551a581d83eafea258dc0
140. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 852179881cfbfe8ffeb5880087cb927b5ea7914d
141. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: c8b4039662ae4297a51a9aa4544be3b522f93838
142. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 0acb2f01d5ce1b17543ef116a29a6644632cf84f
143. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 04ed27f5cbd9f169ab183b78239c219147cc0ac8
144. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: 5d8224f0041ca87c7c26dbee3e692e3a2fc5a13b
145. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: db0031e10e6f2b9e76ac5db72e4d4afd8ecba94b
146. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: b46b9a9d3df09c663ed6a5f854adad0d8f20f0f8
147. OPCODE: GU_UPDATE_CHAR_RP, LENGTH: 11, sha1: 4239577d383bc158178619c9a34fda72433a15e0
148. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 2b48d67af5ce2d11e53173bd251a1b12d13aed31
149. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: a6de7117e37cf9204393f0a658e1c1e0958c3793
150. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 2a4d5ea297a72f8a73ccee10598dd9cdcb282218
151. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: cbefda33d16c5c85bc806d545a7f3b05fa564198
152. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 25c5ca15f71a0f6082a78581147c5b9969f5fd88
153. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: 1ee32da55ffa050d85463584bd9d4771be185389
154. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: b8ec3b131f52b9d46c04b852d57c93c91eccf641
155. OPCODE: GU_UPDATE_CHAR_EXP, LENGTH: 22, sha1: 5a1fc0cbbf58f25459fc8717aa951c99f773157d
156. OPCODE: GU_QUEST_SVREVT_UPDATE_NFY, LENGTH: 12, sha1: 6b0f68a17c35a96b81e8cbd479367f69a5b56fc6
157. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 01bca9e080257184fa72fa4afd51238cdb370359
158. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 23c6d5df3980f17cbcb26a0fe9bdb5ac210db57a
159. OPCODE: GU_CHAR_TARGET_CHANGED, LENGTH: 10, sha1: 70625260c0f56173970845f4ed7d320a10840282
160. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 1759cc8c77e5b499ce1998be036c1b025824f430
161. OPCODE: GU_CHAR_FIGHTMODE, LENGTH: 7, sha1: e5a9b773ac54a163ca22d563e3794391875c5f32
162. OPCODE: GU_TUTORIAL_HINT_UPDATE_RES, LENGTH: 8, sha1: da8ec11317e6ff88393aebac840ad05914d340ff
163. OPCODE: GU_SERVER_CHANNEL_INFO_REFRESHED_NFY, LENGTH: 121, sha1: ca09f24a1191483a123d87661f1b121445340e3d
164. OPCODE: GU_SERVER_CHANNEL_INFO_REFRESHED_NFY, LENGTH: 121, sha1: 2f793974898d9f8f550cbe060b4a959822f500d7
165. OPCODE: GU_SERVER_CHANNEL_INFO_REFRESHED_NFY, LENGTH: 121, sha1: d07fcd6875e3fff97984c7eb729eec57ede9764d
166. OPCODE: GU_SERVER_CHANNEL_INFO_REFRESHED_NFY, LENGTH: 121, sha1: 06979b0c3eeff9a97af8b02289c0790f27311272
167. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 795e3120ca9a44a51fc5244e4e37d8662353b41d
168. OPCODE: GU_CHAR_FIGHTMODE, LENGTH: 7, sha1: a55cfc3a142bf900cb18871943fdd3074c60d3fc
169. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 0d60b633e571bb821f4252e0b9b2c4867ad3247b
170. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 9f6119e60e8338130a4e7c1c5078ecda4b6d0a44
171. OPCODE: GU_UPDATE_CHAR_ZENNY, LENGTH: 12, sha1: 8272f3e553e4d279c8c334e33f52840422fbc208
172. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: 4104b7fe52299f86cf60a676ac806d8591a75074
173. OPCODE: GU_ZENNY_PICK_RES, LENGTH: 21, sha1: 4cc65db626395ab24b16f047a0c18d2c3b44037d
174. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: 4a6ca7511673371ece59546c6f83126777cecd33
175. OPCODE: GU_ITEM_PICK_RES, LENGTH: 10, sha1: 3024b0ea520b1fdd2ae97c5acfc2f920b8dd4026
176. OPCODE: GU_ITEM_CREATE, LENGTH: 143, sha1: cf19dc2a664c4e81b3d0acbbb7bde0e3553de2a3
177. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 86a3c91c8c4b92d286ad91259a6ba591ae93f391
178. OPCODE: GU_TUTORIAL_HINT_UPDATE_RES, LENGTH: 8, sha1: 27b6814be62aa98338c1a15278b6d7d9dea1097b
179. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 032b447b45a6c231718db79970284e3143980a50
