1. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 7f0a85ae2b744a4af36d3299802229a4598f1a3d
2. OPCODE: GU_CHAR_CHANGE_HEADING, LENGTH: 12, sha1: 236f43541987171fc3ad6b86479a280e68f3179f
3. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 96a6e0897e37f1e987282d42c05806fd55befb30
4. OPCODE: GU_CHAR_AIR_MOVE_SYNC, LENGTH: 24, sha1: 8808629a0082d2e7380fd1c0a94f1142cf85bbff
5. OPCODE: GU_UPDATE_CHAR_LP_EP, LENGTH: 22, sha1: b07975f3048846eadd4774862b0656967a3aeb07
6. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 9c9c1d4da65f01b5b1b7a5344e7bdc5ef426b13f
7. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 2ce5a1a47814ef6e4a90d56a70d1c37a9eb0988c
8. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 85a61c865c99dcc5030952f4092be7ca85c18d2e
9. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 9ff5e1e0b2b7067e1f611a165409905246df23e5
10. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: b63014b20101a6ef3c7f84f616ab97386dc42b46
11. OPCODE: GU_CHAR_CHANGE_HEADING, LENGTH: 12, sha1: 236f43541987171fc3ad6b86479a280e68f3179f
12. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: f693f28035af3112a2702a056948925cbcc39eb1
13. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: f9685b50bca1f0b307f8100df59f8bb04ae26876
14. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 76d4ad16f7e4be69b15ad851336818e12e222f66
15. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 4424e7849edaf440f5ba9fca10109e63ac937677
16. OPCODE: GU_SCOUTER_ACTIVATION_RES, LENGTH: 20, sha1: 38d6d8a78a02c62032fc46ec4cccff2f93a5fdd8
17. OPCODE: GU_TS_CONFIRM_STEP_RES, LENGTH: 13, sha1: 557e25fcc93a2f71d305ca6430002fdffed8e798
18. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 857f66ff169f7f46e5e752b53969d949563b0674
19. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: 044fd72d657b39fdb324a9ccce401c36369180d7
20. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 8f95b5f1e04ef22baf6a0516cb6cfafc33740846
21. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 65b4ea2c15518671bdd00f94a8f4695f4e99a517
22. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 2ef8d635e7332d77a8ca1b0df85c57ac06cc466f
23. OPCODE: GU_CHAR_FIGHTMODE, LENGTH: 7, sha1: 491bf10162bc4823d9ef249a5cb0d2bcc84f6faf
24. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 0752d51b7879a127c72a9de8da679abc3a4d7b5e
25. OPCODE: GU_TS_CONFIRM_STEP_RES, LENGTH: 13, sha1: a4ff9aff50f2d353d2aa54459820bd67bbc0ad51
26. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: d8f898f5443234c315bf0a7ec15881429abf3951
27. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 92d98d84be7a1b74407833f87851c2c7581232c8
28. OPCODE: GU_QUEST_SVREVT_START_NFY, LENGTH: 6, sha1: b77c99aa7ec607779311d0227f3995aea871c694
29. OPCODE: GU_TS_CONFIRM_STEP_RES, LENGTH: 13, sha1: 847f98f9f36c498a76ea8ed785f45f4d8425c687
30. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: edd1c7d7269044a1c7b2956d8d8e744cbeda2e71
31. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: f2b24e3c79d76f32dfb60edca9fbcba5c00096a2
32. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: e34887ba558cbf94a6403c692387dcdd582b323d
33. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: e2f1355dce2d65d47e9fc6b2ef59bd67565f3e6a
34. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 43bd8beb4358c935df9473fda7835de4f76b14c5
