1. OPCODE: GU_GAME_ENTER_RES, LENGTH: 79, sha1: 899fe6bea6f11bd74ad0e86be95c149d690e072c
2. OPCODE: GU_SERVER_CONTENTS_ONOFF, LENGTH: 270, sha1: 387c8d22708caf5ccb5f56f1fe0ca38e3ff47602
3. OPCODE: GU_SERVER_SETTING_INFO_NFY, LENGTH: 6, sha1: a1e885344ad710498891f4e5b797ab2b1bd2ea76
4. OPCODE: GU_AVATAR_CHAR_INFO, LENGTH: 1582, sha1: e53c0946e84e594704f0793e33812af2e2f42dc9
5. OPCODE: GU_EVENTMACHINE_COIN_INFO, LENGTH: 4, sha1: 89680d356f5be5beb2fe60d1f7589bde74c1b109
6. OPCODE: GU_WAGUWAGUMACHINE_COIN_INFO, LENGTH: 4, sha1: 44ac3bdcb5d9c95d5b2f25ae49872dc7bb955c0b
7. OPCODE: GU_AVATAR_WORLD_INFO, LENGTH: 156, sha1: 8ad26419cc29eaf8e987a64c04c3d8ec54ab69c5
8. OPCODE: GU_AVATAR_ATTRIBUTE_UPDATE, LENGTH: 497, sha1: c2e75cfdf10fdf9ceaf8d98fb0ba41e20ae5fe7b
9. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 113a37680669f5966b8bb504617801499c35e605
10. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 417e3e0fb1644a819ce31d5e24dd3269b71a6815
11. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 9284ad48b0980d48baad2706f5e9dd0ff11be2fb
12. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: e14332e0e06d60beaadea662c9c29c0bd7278499
13. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 413c9a4ea3ca4e8535f47c5cc67349a13e50066d
14. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 746299104eb9145b1161486fa99a97ef725cdafe
15. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 453f07770047295324fb56c5b8870539f7dfb09d
16. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 44ba618d70a62a7933cef63cd061eac0944a2335
17. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: cd6330f3502f7324c40275e389d2acfa899e4080
18. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 4f93822f58ed02ebb6c5cdc3409b039d5647e653
19. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 9a955b068bf6c552c47e7e6a040a5d5e4c94ae19
20. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 406428676f75378bad7c7337146fa0ebecf6f6df
21. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 5d7004cefb9be07e09281ada7c8b3769a39e79d8
22. OPCODE: GU_ENTER_WORLD_RES, LENGTH: 4, sha1: 175414cc5989134d073f50e4883df0a59e01306a
23. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: 77a3682fe61f15e33f3891ff8e11b1808476e881
24. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 7e045439d2c7d36649d286b57c5088408b9b5580
25. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: cf3ee9c022be0f1565b9a7d098a5bdcc10c1d3bd
26. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 463d6e07ffa21a67fbbbb6e33326d0b9a7d51d45
27. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: a30c54f057c881aae6fc0df4c35b89550f7caab8
28. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 44657c7a015a19ffecf275837dadbf38f6493743
29. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 7697bd0803c9f4de944419027ae8b1b6db713ded
30. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: b53403431cec3c56b30bc4243eba73c5cfbb7ebb
31. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 08a5340eeca7d00234892e1287b813e46963b255
32. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 177691d81b25fddd17d1ade678fcd8ec07c15c90
33. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: e1f95d0fea9be70c71c54baeb1caf3d533f328ea
34. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: d70910bd72553e833e7248795f4a88b31b3f6d59
35. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: bd142c46354cc98d6bed76add87043cb02230db2
36. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: b49f0eebb33ce55300632589098759c7d24eff28
37. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 64f3c354c1c3a75f7bb79be4ca80068bdf582e71
38. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 896940982dd29e7367e82ca28aea0ad3fa311d2d
39. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 6f4f9899f1eade7f85d5c6317bf3f39fae930a6b
40. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: 8549804a2bb5609c717ab3fc6e0bcb68b750cf64
41. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: f2957cabab9afeb2ad6cbaa0a9f2eb9032636637
42. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 16ef6254bd583af1d21d9562930ab10f29c34a26
43. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 42ac669804bd5ddc31b3f706d1d0fa745d1706ff
44. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 2bd3aaee0738aa62cbf4326ada15cb88e70a00b9
45. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: 655209fbd99f16d18ec1bb8a69aae4a93df95545
46. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: f4cd90d3702ffed1e577111f80f1c5d40b60995b
47. OPCODE: GU_UPDATE_CHAR_RP_BALL_MAX, LENGTH: 7, sha1: d93891dd0a94cb795808df773a1b8db8c6ae747e
48. OPCODE: GU_UPDATE_CHAR_AP, LENGTH: 14, sha1: b690f4e2dc86432bd103bb82ea1360b4dddacbae
49. OPCODE: GU_UPDATE_CHAR_RP, LENGTH: 11, sha1: 2c8494bb0c37de5e704137cd22026be0bf8c13a1
50. OPCODE: GU_AUTH_KEY_FOR_COMMUNITY_SERVER_RES, LENGTH: 20, sha1: e2d0d825203993ad9d0f1b1fcfaabddab6c3c8ec
51. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 15f900cb51455ef6e738cad8f5427a3e9a61aa6c
52. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 89f42e363b8ae36fbe97d229c1a221b8e65a4273
53. OPCODE: GU_CASHITEM_HLSHOP_REFRESH_RES, LENGTH: 8, sha1: 0daa674aa81a0252e455a4a0d893d62bb9dd9aac
54. OPCODE: GU_AVATAR_ZONE_INFO, LENGTH: 7, sha1: e2192f5e910066fd59322e6c3ff580fd569224da
55. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 5035215e02c0ad594dbabc340d93634dfc6dd52d
56. OPCODE: GU_CHAR_AIR_MOVE_SYNC, LENGTH: 24, sha1: 29ffadbbb1b6ef0a183b44bf5e70a00bd23d228d
57. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 6bbdcee9d030347b6c697dd6a58608b771e5769b
58. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 05a06b907dadd61bebf9d7d4f25749a379609b36
59. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 66a02da8c7db2ec7cd85b24d243ebcf738e3f2d3
60. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: cec90242ea9cbdcb60b6e6abaacf480d8c7722cf
61. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 6a780a339198bebabb37978a8cffb03e51099269
62. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: e85b39a804612c231c6930a59c4909330cab0a54
63. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: b426c22c7fd61b8b92737acea8b748409d8693db
64. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: d0e5d22d2de9e643ec780b1028bc2ca7ca7ceb2d
65. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: b7643d0046a4dcd50a7fbbbce59e85356d61d427
66. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: c1c5dafd53666aee6724eda98e1c178c6133a7b4
67. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: 30e8a497611811e178f1575780b1da8d8d0e46a7
68. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 95a3d430bceb5183d83ee5850ff8e4d99833be9b
69. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 846a60a2f0ce2a8cab7f89e3b15a4df4293f51ca
70. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 12362e85b09e389de53174dee04643151c567f9a
71. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: c6fbb3ac703656013737eee9bf99cdd032f699c7
72. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 6f4db4ed876c9c859dcfc55f0922ed4ea538dbd0
73. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 21f46816a1f43addeb25f8bce6a60583732ea94f
74. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: c3a466c73de66741d75537309c430474f431f393
75. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: b1a95330dcdbb94efc152cd4b0aac66c5353ed55
76. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 5b251a376dbcc6ca450e69cd1d7cf1062ae9c09d
77. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 8b36c47e11df2b85c1a53ca51a0850243ff61f4a
78. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: d4e4d78c883d0d05828cdaa3af0f29ff496048a3
79. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 8db21b66b2493d62be5dbc9fdab0816dbf92bdad
80. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 24ef7f29fd1c236e42e2eede0fde6dcabf4c8c42
